url,titulo,descricao,quantidade_cama,preco_por_noite,estrelas,quantidade_avaliacoes
https://a0.muscache.com/im/pictures/59674ab9-f2cc-406a-b263-b68349cfae0d.jpg?im_w=320,Apartamento em Bessa,Beira-mar na praia do Bessa,3,196,"4,88",96
https://a0.muscache.com/im/pictures/4f720a05-80cf-4063-8ec3-5a1f2465e621.jpg?im_w=320,Apartamento em Cabo Branco ,Cabo Branco edifício à beira mar,1,221,"4,9",20
https://a0.muscache.com/im/pictures/aa742252-5edf-4cf4-98a0-ccc0b95e282a.jpg?im_w=320,Apartamento em Manaíra,Flat encantador a beira mar com piscina,3,166,"4,9",42
https://a0.muscache.com/im/pictures/miso/Hosting-812311379558989614/original/fbfb15d2-bfd3-4462-ab3d-3def42af44d8.jpeg?im_w=320,Apartamento em João Pessoa,Apartamento completo mobiliado ,2,211,0,0
https://a0.muscache.com/im/pictures/miso/Hosting-48487285/original/293d1678-fbd5-4063-a818-51856d7941b1.jpeg?im_w=320,Apartamento em Cabo Branco,Flat Cabo Branco (B) - Você merece ser feliz!,2,262,"4,99",71
https://a0.muscache.com/im/pictures/prohost-api/Hosting-650727807859432117/original/17995c22-743e-486b-bfd8-1d3b641e7535.jpeg?im_w=320,Apartamento em Cabo Branco,"Montcristo | Cabo Branco, Beira-Mar, Praia, Wi-fi",2,269,"4,91",11
https://a0.muscache.com/im/pictures/1c8b22a5-c2ed-4133-b9b4-7c14d6c4b010.jpg?im_w=320,Quarto de hotel em Cabo Branco,Marinas Praia Flat Jampa,2,270,"4,73",135
https://a0.muscache.com/im/pictures/1bc4f128-f229-487f-8c51-a4ba53d58736.jpg?im_w=320,Apartamento no melhor do Bessa a 01 minuto da praia,Apto no melhor do Bessa a 01 minuto da praia.,3,253,5,9
https://a0.muscache.com/im/pictures/miso/Hosting-570210496814101085/original/80081387-1e3f-41e0-9943-fc022300b70f.jpeg?im_w=320,Apartamento em Cabo Branco ,Flat Belo Mar Cabo Branco - Você merece ser feliz!,2,239,5,20
https://a0.muscache.com/im/pictures/312571c0-898d-42b8-b1cb-7564ebeb6d00.jpg?im_w=320,Apartamento em Cabo Branco ,Apartamento Beira Mar ,1,155,"4,7",27
https://a0.muscache.com/im/pictures/cd09381e-ab12-4b87-8179-1a8b087b1a82.jpg?im_w=320,Apartamento em João Pessoa,Apto no Caribessa a 01 minuto da orla.,3,246,5,10
https://a0.muscache.com/im/pictures/miso/Hosting-53900403/original/e1dad407-befb-4135-a623-50286391b759.png?im_w=320,Quarto inteiro em Cabo Branco ,"Bauten Cabo Branco413, deto nuevo, perto da praia",1,146,"4,59",32
https://a0.muscache.com/im/pictures/miso/Hosting-767998377069072251/original/71b25cc5-9639-4994-b6ce-d87a4aed1c05.jpeg?im_w=320,Apartamento em João Pessoa ,Apartamento à 200m do mar,3,267,0,0
https://a0.muscache.com/im/pictures/f6523e96-ca5d-4baf-aada-845617257ad3.jpg?im_w=320,Apartamento em João Pessoa ,Studio a beira-mar em Manaíra,3,199,5,5
